,,,,,,,,,
Most Popular and liked - Technical Interview questions of all time ,,,,,,,,,
,,,,,,,,,
Num,LeetCode Problem,Topic,Video Explanation,Asked By Company + Number of Times,,,,,Level
43,LRU Cache,Linked List,https://www.youtube.com/watch?v=VPq5dlxaeP8,Medium,,,,,
44,Merge K Sorted Lists,Linked List,https://www.youtube.com/watch?v=SlKgDtpJnxg,Hard,,,,,
45,Reverse Nodes In K Group,Linked List,https://www.youtube.com/watch?v=P9_K8M4nnf0,Hard,,,,,
46,Invert Binary Tree,Trees,https://www.youtube.com/watch?v=yb2Y9h2YWio,Easy,,,,,
47,Maximum Depth of Binary Tree,Trees,https://www.youtube.com/watch?v=IAMk9ZSpvjQ,Easy,,,,,
48,Diameter of Binary Tree,Trees,https://www.youtube.com/watch?v=DpyCkHMlxLc,Easy,,,,,
49,Balanced Binary Tree,Trees,https://www.youtube.com/watch?v=gu5rAEvm9Fk,Easy,,,,,
50,Same Tree,Trees,https://www.youtube.com/watch?v=yi7ym5R5aYI,Easy,,,,,
51,Subtree of Another Tree,Trees,https://www.youtube.com/watch?v=YOW_-ptARNE,Easy,,,,,
52,Lowest Common Ancestor of a Binary Search Tree,Trees,https://www.youtube.com/watch?v=1HUmPsyFb9U,Medium,,,,,
53,Binary Tree Level Order Traversal,Trees,https://www.youtube.com/watch?v=Oy3g4SEKNw0,Medium,,,,,
54,Binary Tree Right Side View,Trees,https://www.youtube.com/watch?v=4lMY-g0Afg8,Medium,,,,,
55,Count Good Nodes In Binary Tree,Trees,https://www.youtube.com/watch?v=AiCPoU8q2sU,Medium,,,,,
56,Validate Binary Search Tree,Trees,https://www.youtube.com/watch?v=QaCMLopSwWI,Medium,,,,,
57,Kth Smallest Element In a Bst,Trees,https://www.youtube.com/watch?v=tAUB05a6ys4,Medium,,,,,
58,Construct Binary Tree From Preorder And Inorder Traversal,Trees,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,Medium,,,,,
59,Binary Tree Maximum Path Sum,Trees,https://www.youtube.com/watch?v=6wv9yMSenvQ,Hard,,,,,
60,Serialize And Deserialize Binary Tree,Trees,https://www.youtube.com/watch?v=vqbpTOU-LS4,Hard,,,,,
61,Implement Trie Prefix Tree,Tries,https://www.youtube.com/watch?v=nLTqtBLhPbQ,Medium,,,,,
62,Design Add And Search Words Data Structure,Tries,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,Medium,,,,,
63,Word Search II,Tries,https://www.youtube.com/watch?v=8K2Sh9ingJA,Hard,,,,,
64,Kth Largest Element In a Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=i7Mt70QERw4,Easy,,,,,
65,Last Stone Weight,Heap / Priority Queue,https://www.youtube.com/watch?v=xq4RoS0vVfM,Easy,,,,,
66,K Closest Points to Origin,Heap / Priority Queue,https://www.youtube.com/watch?v=RLyF_-4Izg0,Medium,,,,,
67,Kth Largest Element In An Array,Heap / Priority Queue,https://www.youtube.com/watch?v=kmUL7CAOSwc,Medium,,,,,
68,Task Scheduler,Heap / Priority Queue,https://www.youtube.com/watch?v=IcjlqToRGWI,Medium,,,,,
69,Design Twitter,Heap / Priority Queue,https://www.youtube.com/watch?v=esZ4vvjwW6E,Medium,,,,,
70,Find Median From Data Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=IKpM6Q8wTIY,Hard,,,,,
71,Subsets,Backtracking,https://www.youtube.com/watch?v=OQKWzRJYtwg,Medium,,,,,
72,Combination Sum,Backtracking,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Medium,,,,,
73,Permutations,Backtracking,https://www.youtube.com/watch?v=_tgwDDWuU-Q,Medium,,,,,
74,Subsets II,Backtracking,https://www.youtube.com/watch?v=GPigeECXWZE,Medium,,,,,
75,Combination Sum II,Backtracking,https://www.youtube.com/watch?v=I6f8Za0vRxE,Medium,,,,,
76,Word Search,Backtracking,https://www.youtube.com/watch?v=8K2Sh9ingJA,Medium,,,,,
77,Palindrome Partitioning,Backtracking,https://www.youtube.com/watch?v=NWe3W2bMVAU,Medium,,,,,
78,Letter Combinations of a Phone Number,Backtracking,https://www.youtube.com/watch?v=dmYiOfy8a-k,Medium,,,,,
79,N Queens,Backtracking,https://www.youtube.com/watch?v=MOrMPEq6P5w,Hard,,,,,
80,Number of Islands,Graphs,https://www.youtube.com/watch?v=H-2Nh2RXX6g,Medium,,,,,
81,Clone Graph,Graphs,https://www.youtube.com/watch?v=1aN0WWM0-Eo,Medium,,,,,
82,Max Area of Island,Graphs,https://www.youtube.com/watch?v=Dy-M-Suk8nk,Medium,,,,,
83,Pacific Atlantic Water Flow,Graphs,https://www.youtube.com/watch?v=fTohawuMcvY,Medium,,,,,
84,Surrounded Regions,Graphs,https://www.youtube.com/watch?v=yaBaE4fo6wA,Medium,,,,,
85,Rotting Oranges,Graphs,https://www.youtube.com/watch?v=1BlwbFfgk-E,Medium,,,,,
86,Walls And Gates,Graphs,https://www.youtube.com/watch?v=wYv60DTtsto,Medium,,,,,
87,Course Schedule,Graphs,https://www.youtube.com/watch?v=ge9WKEsVue0,Medium,,,,,
88,Course Schedule II,Graphs,https://www.youtube.com/watch?v=_RWV4hZdmdk,Medium,,,,,
89,Redundant Connection,Graphs,https://www.youtube.com/watch?v=ctMC5TPuVnM,Medium,,,,,
90,Number of Connected Components In An Undirected Graph,Graphs,https://www.youtube.com/watch?v=o8z2tHYrg_o,Medium,,,,,
91,Graph Valid Tree,Graphs,https://www.youtube.com/watch?v=WU3-vo0MJW0,Medium,,,,,
92,Word Ladder,Graphs,https://www.youtube.com/watch?v=isLTjdCw52s,Hard,,,,,
93,Reconstruct Itinerary,Advanced Graphs,https://www.youtube.com/watch?v=1_bfI1mi6mA,Hard,,,,,
94,Min Cost to Connect All Points,Advanced Graphs,https://www.youtube.com/watch?v=mvwrT2A4p60,Medium,,,,,
95,Network Delay Time,Advanced Graphs,https://www.youtube.com/watch?v=QKRRjz4KMuE,Medium,,,,,
96,Swim In Rising Water,Advanced Graphs,https://www.youtube.com/watch?v=WYHvHkh9kHQ,Hard,,,,,
97,Alien Dictionary,Advanced Graphs,https://www.youtube.com/watch?v=1QbsN5JyPto,Hard,,,,,
98,Cheapest Flights Within K Stops,Advanced Graphs,https://www.youtube.com/watch?v=AVsymWOY6fc,Medium,,,,,
99,Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=5mWBnYrdO70,Easy,,,,,
100,Min Cost Climbing Stairs,1-D Dynamic Programming,https://www.youtube.com/watch?v=A3LYMRqAQeU,Easy,,,,,
101,House Robber,1-D Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Medium,,,,,
102,House Robber II,1-D Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Medium,,,,,
103,Longest Palindromic Substring,1-D Dynamic Programming,https://www.youtube.com/watch?v=92KOT17h8zw,Medium,,,,,
104,Palindromic Substrings,1-D Dynamic Programming,https://www.youtube.com/watch?v=WfkVe8egZbU,Medium,,,,,
105,Decode Ways,1-D Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Medium,,,,,
106,Coin Change,1-D Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Medium,,,,,
107,Maximum Product Subarray,1-D Dynamic Programming,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Medium,,,,,
108,Word Break,1-D Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Medium,,,,,
109,Longest Increasing Subsequence,1-D Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Medium,,,,,
110,Partition Equal Subset Sum,1-D Dynamic Programming,https://www.youtube.com/watch?v=X50Rknzenus,Medium,,,,,
111,Unique Paths,2-D Dynamic Programming,https://www.youtube.com/watch?v=klWLMgdMWCY,Medium,,,,,
112,Longest Common Subsequence,2-D Dynamic Programming,https://www.youtube.com/watch?v=g9iNrsBR9BE,Medium,,,,,
113,Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,https://www.youtube.com/watch?v=PH5jUN1cNHo,Medium,,,,,
114,Coin Change II,2-D Dynamic Programming,https://www.youtube.com/watch?v=khIBdTrRggk,Medium,,,,,
115,Target Sum,2-D Dynamic Programming,https://www.youtube.com/watch?v=9QqOX57nMAY,Medium,,,,,
116,Interleaving String,2-D Dynamic Programming,https://www.youtube.com/watch?v=KXIK863L9tk,Medium,,,,,
117,Longest Increasing Path In a Matrix,2-D Dynamic Programming,https://www.youtube.com/watch?v=gvwTGXP-reQ,Hard,,,,,
118,Distinct Subsequences,2-D Dynamic Programming,https://www.youtube.com/watch?v=A5IBp1ldlik,Hard,,,,,
119,Edit Distance,2-D Dynamic Programming,https://www.youtube.com/watch?v=fnWskW9xaw4,Medium,,,,,
120,Burst Balloons,2-D Dynamic Programming,https://www.youtube.com/watch?v=TfvN6rqDOT0,Hard,,,,,
121,Regular Expression Matching,2-D Dynamic Programming,https://www.youtube.com/watch?v=VFQddcCP46c,Hard,,,,,
122,Maximum Subarray,Greedy,https://www.youtube.com/watch?v=nr2djEYM7_A,Medium,,,,,
123,Jump Game,Greedy,https://www.youtube.com/watch?v=PVNLmjJaHW0,Medium,,,,,
124,Jump Game II,Greedy,https://www.youtube.com/watch?v=d_1GRnMg_zs,Medium,,,,,
125,Gas Station,Greedy,https://www.youtube.com/watch?v=ENDr9IfRMMw,Medium,,,,,
126,Hand of Straights,Greedy,https://www.youtube.com/watch?v=ISHUyNJVq_M,Medium,,,,,
127,Merge Triplets to Form Target Triplet,Greedy,https://www.youtube.com/watch?v=OVjB6kGr29g,Medium,,,,,
128,Partition Labels,Greedy,https://www.youtube.com/watch?v=TvWEYhHPO0w,Medium,,,,,
129,Valid Parenthesis String,Greedy,https://www.youtube.com/watch?v=h5YxPLC4lWs,Medium,,,,,
130,Insert Interval,Intervals,https://www.youtube.com/watch?v=16YiKk6ga7Y,Medium,,,,,
131,Merge Intervals,Intervals,https://www.youtube.com/watch?v=n3F2v9f8OfY,Medium,,,,,
132,Non Overlapping Intervals,Intervals,https://www.youtube.com/watch?v=y8nBFmPsAF8,Medium,,,,,
133,Meeting Rooms,Intervals,https://www.youtube.com/watch?v=5nqLIwo0oC0,Easy,,,,,
134,Meeting Rooms II,Intervals,https://www.youtube.com/watch?v=sQkgNfoPrDw,Medium,,,,,
135,Minimum Interval to Include Each Query,Intervals,https://www.youtube.com/watch?v=FZtDTYzVUhU,Hard,,,,,
136,Rotate Image,Math & Geometry,https://www.youtube.com/watch?v=dF1E3G9wBCw,Medium,,,,,
137,Spiral Matrix,Math & Geometry,https://www.youtube.com/watch?v=xUpnTpzMqfI,Medium,,,,,
138,Set Matrix Zeroes,Math & Geometry,https://www.youtube.com/watch?v=JwQvyZcwcP4,Medium,,,,,
139,Happy Number,Math & Geometry,https://www.youtube.com/watch?v=d5SvCvRmmww,Easy,,,,,
140,Plus One,Math & Geometry,https://www.youtube.com/watch?v=1KIcZqCXNHU,Easy,,,,,
141,"Pow(x, n)",Math & Geometry,https://www.youtube.com/watch?v=OUKFuUkb4p0,Medium,,,,,
142,Multiply Strings,Math & Geometry,https://www.youtube.com/watch?v=1Hftrgb30BQ,Medium,,,,,
143,Detect Squares,Math & Geometry,https://www.youtube.com/watch?v=1UooPSAHjfw,Medium,,,,,
144,Single Number,Bit Manipulation,https://www.youtube.com/watch?v=2LaOz13Y5qw,Easy,,,,,
145,Number of 1 Bits,Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Easy,,,,,
146,Counting Bits,Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Easy,,,,,
147,Reverse Bits,Bit Manipulation,https://www.youtube.com/watch?v=-7bpRBMPXh8,Easy,,,,,
148,Missing Number,Bit Manipulation,https://www.youtube.com/watch?v=-pLW7935dlc,Easy,,,,,
149,Sum of Two Integers,Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Medium,,,,,
150,Reverse Integer,Bit Manipulation,https://www.youtube.com/watch?v=fZwClQfC3qU,Medium,,,,,
,,,,,,,,,
Full Courses on Most important topics and questions,,,,,,,,,
,,,,,,,,,
Num,Type,Full Course,,,,,,,
,,,,,,,,,
1,Complete Guide for Data Structures,https://www.youtube.com/watch?v=2h433OItQiA,,,,,,,
2,Understanding Big o and Time Complexity,https://www.youtube.com/watch?v=7P0qxxEy2-w,,,,,,,
3,Using Data Structures in System Design,https://www.youtube.com/watch?v=r9ybzRjyglw,,,,,,,
4,Full Course on DSA coding Patterns,https://www.youtube.com/watch?v=GLTR39VIAdc,,,,,,,
5,10 Golden Rules for Any Coding Interview,https://www.youtube.com/watch?v=PKXD2M2kaXQ,,,,,,,
6,Arrays for Technical Interviews - Full Course,https://www.youtube.com/watch?v=-o5w6h80ZA8,,,,,,,
7,Dynamic Programming for Technical Interviews - Full Course,https://www.youtube.com/watch?v=EeAJ6YKGJM8,,,,,,,
8,Graph Algorithms for Technical Interviews - Full Course,https://www.youtube.com/watch?v=Ob0YvI9M02o,,,,,,,
9,Intervals for Technical Interviews - Full Course,https://www.youtube.com/watch?v=GOCfvrFsIOk,,,,,,,
10,Hashing Algorithms for Technical Interviews - Full Course,https://www.youtube.com/watch?v=irua6hf3kBM,,,,,,,
11,Linked Lists for Technical Interviews - Full Course,https://www.youtube.com/watch?v=Laugw5Uj57g,,,,,,,
12,Strings for Technical Interviews - Full Course,https://www.youtube.com/watch?v=5xDT3AG7988,,,,,,,
13,Binary For Technical Interviews - Full Course,https://www.youtube.com/watch?v=CzAZzRcd8Oc,,,,,,,
14,Tree Algorithm for Technical Interviews - Full Course,https://www.youtube.com/watch?v=1R2aM_BaiMg,,,,,,,
15,Master the TWO Pointer Coding Pattern,https://www.youtube.com/watch?v=Fue0SgYBxrc,,,,,,,
16,Sliding Window Coding Pattern,https://www.youtube.com/watch?v=CHVSDFeC-L4,,,,,,,
17,Intervals Coding Pattern,https://www.youtube.com/watch?v=HNSHVtSGMFk,,,,,,,
18,Master BFS - Breadth First Search,https://www.youtube.com/watch?v=A1UG1Fc-TVc,,,,,,,
19,MAster DFS - Depth First Search,https://www.youtube.com/watch?v=6gNAe0Fug8I,,,,,,,
20,Entire Blind 75 Solved,https://www.youtube.com/watch?v=PieZjz2Pyhw,,,,,,,
21,Entire Blind 75 Solved - Part 2,https://www.youtube.com/watch?v=ERL4FPOsY3Y,,,,,,,
22,10 Must do things before interview,https://www.youtube.com/watch?v=FfeEUfh5zUE,,,,,,,
23,Using Algorithms in System Design,https://www.youtube.com/watch?v=JZOT8qCUZYc,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Technical Interviews I have Experienced So Far,,,,,,,,,
,,,,,,,,,
Num,Company,Interview Type,Interview Experience,Result,,,,,
,,,,,,,,,
1,Microsoft - Incredible Story - How I got the Interview,Journey,https://www.youtube.com/watch?v=l6wa64E3M6w,Hired,,,,,
2,Microsoft - Interview Experience,5 Rounds,https://www.youtube.com/watch?v=w__3KFLNKww,Hired,,,,,
3,Amazon,First Round - Phone Screen,https://www.youtube.com/watch?v=Z9qEolBKo9Y,Selected,,,,,
4,Nokia,1 Round - Onsite,https://www.youtube.com/watch?v=3sqy9ymtHfQ,Hired,,,,,
5,RBC,3 Rounds,https://www.youtube.com/watch?v=7tP3XyK4YLA,Hired,,,,,
6,Airbus,3 Rounds,https://www.youtube.com/watch?v=DvZgUk9WluM,Hired,,,,,
7,Goldman Sachs,First Round - Coder Pad,https://www.youtube.com/watch?v=0AfPJyPssbw,Rejected,,,,,
8,DoorDash,First Round - Phone Screen,https://www.youtube.com/watch?v=zxDrZ5dDd7s,Rejected,,,,,
9,Morgan stanley (2 Interviews ),4 Rounds - Onsite,https://www.youtube.com/watch?v=OtVh_TyXfd8,Rejected,,,,,
10,TD,5 rounds (2 interviews),https://www.youtube.com/watch?v=1G6W6erLpyU,Rejected,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Coding solution of all the problems I have solved,,,,,,,,,
,,,,,,,,,
https://github.com/DestinationFAANG/Destination-FAANG-Java-Solution,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tech Talks with Different IT folks,,,,,,,,,
,,,,,,,,,
Num,Topic,Person Name,Full Interview,,,,,,
1,Advice for software developers by a Pro Coder,Apurva Patel,https://youtu.be/nGehKzdZxe4,,,,,,
2,Talk with an Amazon Technical Program Manager,Pratiksha Bakrola,https://youtu.be/qNOOgOxPLBQ,,,,,,
3,Fight the Layoffs with a Steller Preparation,Parth Vyas,https://youtu.be/UiKuKIbwpms,,,,,,
4,Raw Conversation with an Infosys Team lead ,Manan Shah,https://youtu.be/inWxjvngXs8,,,,,,
5,ChatGPT Explained + ChatGPT vs Google,Parth Vyas,https://youtu.be/UeMUwH6sszQ,,,,,,
